,offence,Highest Offense Code,Occurred Date Time,Date,Time,LocType,Address,Zip Code,Council District,X,Y,Latitude,Longitude,Location
1,THEFT,600,03/23/2019 06:00:00 PM,23-03-2019,1800,RESIDENCE / HOME,5512 GLOUCESTER LN,78723,1,3133783,3133783,30.30220794,-97.6801768,"(30.30220794, -97.6801768)"
12,THEFT FROM PERSON,610,04-02-2019 18:00,02-04-2019,1800,STREETS / HWY / ROAD / ALLEY,SALEM WALK DR / W STASSNEY LN,78745,2,3101694,3101694,30.20920504,-97.78434414,"(30.20920504, -97.78434414)"
13,THEFT,600,04-01-2019 15:02,01-04-2019,1502,DEPARTMENT / DISCOUNT STORE,5811 BERKMAN DR,78723,4,3129661,3129661,30.31236783,-97.69296426,"(30.31236783, -97.69296426)"
18,BURGLARY OF VEHICLE,601,03/14/2019 07:39:00 PM,14-03-2019,1939,PARKING LOTS / GARAGE,4625 W WILLIAM CANNON DR,78749,8,3082868,3082868,30.22336021,-97.8435927,"(30.22336021, -97.8435927)"
21,THEFT,600,03/30/2019 07:17:00 PM,30-03-2019,1917,PARKING LOTS / GARAGE,9300 S IH 35 SVRD SB,78748,5,3100423,3100423,30.16548757,-97.78952006,"(30.16548757, -97.78952006)"
22,THEFT,600,03-05-2019 21:15,05-03-2019,2115,RESIDENCE / HOME,12229 OLD STAGE TRL,78750,6,3095024,3095024,30.45453834,-97.79902888,"(30.45453834, -97.79902888)"
24,BURGLARY OF VEHICLE,601,03/29/2019 05:00:00 PM,29-03-2019,1700,PARK / PLAYGROUND,6701 LAKEWOOD DR,78731,10,3099472,3099472,30.3659152,-97.7872499,"(30.3659152, -97.7872499)"
40,THEFT OF LICENSE PLATE,614,04-02-2019 22:00,02-04-2019,2200,RESIDENCE / HOME,1101 CLAYTON LN,78723,4,3126671,3126671,30.31804101,-97.7022879,"(30.31804101, -97.7022879)"
51,THEFT,600,03/15/2019 04:00:00 PM,15-03-2019,1600,GROCERY / SUPERMARKET,12900 N IH 35 SVRD SB,78753,7,3134231,3134231,30.41357997,-97.67568979,"(30.41357997, -97.67568979)"
66,THEFT,600,02/17/2019 08:28:00 AM,17-02-2019,828,RESIDENCE / HOME,8406 MARTIN CT,78758,4,3124682,3124682,30.35374563,-97.70762182,"(30.35374563, -97.70762182)"
89,THEFT,600,04-01-2019 17:00,01-04-2019,1700,GROCERY / SUPERMARKET,7309 CAMERON RD,78752,4,3130400,3130400,30.32823802,-97.69018692,"(30.32823802, -97.69018692)"
97,THEFT,600,04-01-2019 06:52,01-04-2019,652,HOTEL / MOTEL / ETC.,7100 N IH 35 SVRD NB,78752,4,3125988,3125988,30.33209621,-97.70407015,"(30.33209621, -97.70407015)"
101,AUTO THEFT,700,03/14/2019 01:00:00 PM,14-03-2019,1300,PARKING LOTS / GARAGE,9027 NORTHGATE BLVD,78758,4,3121782,3121782,30.369973,-97.71637849,"(30.369973, -97.71637849)"
125,BURGLARY OF VEHICLE,601,03/29/2019 10:00:00 AM,29-03-2019,1000,HOTEL / MOTEL / ETC.,11301 BURNET RD,78758,7,3120690,3120690,30.39716921,-97.71910498,"(30.39716921, -97.71910498)"
132,THEFT OF BICYCLE,609,04-02-2019 19:00,02-04-2019,1900,PARK / PLAYGROUND,2040 LOU NEFF RD,78746,8,3107188,3107188,30.26685303,-97.76541456,"(30.26685303, -97.76541456)"
139,THEFT OF LICENSE PLATE,614,03/29/2019 10:30:00 AM,29-03-2019,1030,PARKING LOTS / GARAGE,1100 REINLI ST,78723,4,3126350,3126350,30.31702008,-97.70333336,"(30.31702008, -97.70333336)"
150,THEFT BY SHOPLIFTING,607,03/30/2019 04:36:00 PM,30-03-2019,1636,SPECIALTY  STORE (TV  FUR ETC.),2901 S CAPITAL OF TEXAS HWY NB,78746,8,3094135,3094135,30.25788603,-97.80700704,"(30.25788603, -97.80700704)"
155,BURG NON RESIDENCE SHEDS,504,02/21/2019 08:00:00 AM,21-02-2019,800,RESIDENCE / HOME,10300 JOLLYVILLE RD,78759,10,3110878,3110878,30.39703797,-97.75023971,"(30.39703797, -97.75023971)"
159,THEFT BY SHOPLIFTING,607,03/31/2019 07:56:00 PM,31-03-2019,1956,GROCERY / SUPERMARKET,1801 E 51ST ST,78723,9,3127952,3127952,30.30178356,-97.69867079,"(30.30178356, -97.69867079)"
167,BURGLARY OF VEHICLE,601,03/28/2019 06:00:00 PM,28-03-2019,1800,RESIDENCE / HOME,917 E 50TH ST,78751,9,3122824,3122824,30.31056361,-97.71468653,"(30.31056361, -97.71468653)"
184,THEFT,600,03/15/2019 12:00:00 PM,15-03-2019,1200,RESIDENCE / HOME,4201 MONTEREY OAKS BLVD,78749,8,3085873,3085873,30.22850779,-97.83394268,"(30.22850779, -97.83394268)"
188,THEFT FROM PERSON,610,03/28/2019 11:00:00 PM,28-03-2019,2300,STREETS / HWY / ROAD / ALLEY,404 E 6TH ST,78701,9,3115542,3115542,30.26732068,-97.73893254,"(30.26732068, -97.73893254)"
192,THEFT OF LICENSE PLATE,614,03/20/2019 06:00:00 AM,20-03-2019,600,PARKING LOTS / GARAGE,8600 RESEARCH BLVD NB,78758,7,3121607,3121607,30.36229855,-97.71714176,"(30.36229855, -97.71714176)"
201,BURGLARY OF RESIDENCE,500,02/28/2019 04:13:00 AM,28-02-2019,413,RESIDENCE / HOME,1748 OHLEN RD,78757,7,3120645,3120645,30.36280328,-97.7201792,"(30.36280328, -97.7201792)"
207,THEFT,600,03/28/2019 08:15:00 PM,28-03-2019,2015,RESTAURANTS,2716 GUADALUPE ST,78705,9,3114436,3114436,30.29283488,-97.741752,"(30.29283488, -97.741752)"
222,AUTO THEFT,700,04-03-2019 04:50,03-04-2019,450,RESIDENCE / HOME,1405 THEODORA CV,78753,1,3138942,3138942,30.37740313,-97.66174275,"(30.37740313, -97.66174275)"
228,THEFT,600,03/14/2019 02:00:00 PM,14-03-2019,1400,STREETS / HWY / ROAD / ALLEY,500 CANYON RIDGE DR,78753,7,3135499,3135499,30.4052639,-97.67189559,"(30.4052639, -97.67189559)"
245,BURGLARY OF VEHICLE,601,03/27/2019 08:30:00 PM,27-03-2019,2030,STREETS / HWY / ROAD / ALLEY,EAST AVE / RIVER ST,78701,9,3115877,3115877,30.25758204,-97.73813288,"(30.25758204, -97.73813288)"
247,AUTO THEFT,700,03/30/2019 05:00:00 PM,30-03-2019,1700,OTHER / UNKNOWN,1120 W HOWARD LN,78660,7,3136307,3136307,30.42417759,-97.66880898,"(30.42417759, -97.66880898)"
248,THEFT OF LICENSE PLATE,614,02-11-2019 11:47,11-02-2019,1147,AUTO DEALERSHIP NEW / USED,4801 S IH 35 SVRD NB,78744,2,3110591,3110591,30.20719281,-97.75622481,"(30.20719281, -97.75622481)"
257,BURGLARY OF RESIDENCE,500,03-06-2019 11:30,06-03-2019,1130,RESIDENCE / HOME,6607 RIDGE OAK RD,78749,8,3078043,3078043,30.23061917,-97.85868743,"(30.23061917, -97.85868743)"
259,BURGLARY OF VEHICLE,601,03/31/2019 08:00:00 PM,31-03-2019,2000,RESTAURANTS,8820 BURNET RD,78757,7,3118105,3118105,30.37097722,-97.72801438,"(30.37097722, -97.72801438)"
279,THEFT,600,02-01-2019 15:24,01-02-2019,1524,OTHER / UNKNOWN,5621 N IH 35 SVRD NB,78723,4,3125467,3125467,30.31639298,-97.70614968,"(30.31639298, -97.70614968)"
280,BURGLARY OF RESIDENCE,500,03/28/2019 10:00:00 AM,28-03-2019,1000,HOTEL / MOTEL / ETC.,78 N IH 35 SVRD SB,78701,9,3115961,3115961,30.25918198,-97.73782374,"(30.25918198, -97.73782374)"
282,AUTO THEFT,700,03/29/2019 04:00:00 PM,29-03-2019,1600,RESIDENCE / HOME,10001 S 1ST ST,78748,5,3097404,3097404,30.16103971,-97.79919221,"(30.16103971, -97.79919221)"
293,THEFT,600,03/25/2019 08:25:00 AM,25-03-2019,825,RESIDENCE / HOME,6401 RIALTO BLVD,78735,8,3077793,3077793,30.24990978,-97.85898502,"(30.24990978, -97.85898502)"
294,BURGLARY NON RESIDENCE,502,01/22/2019 08:09:00 AM,22-01-2019,809,OTHER / UNKNOWN,56 EAST AVE,78701,9,3115755,3115755,30.25709508,-97.73853249,"(30.25709508, -97.73853249)"
298,AGG ROBBERY/DEADLY WEAPON,300,04-03-2019 02:04,03-04-2019,204,CONVENIENCE STORE,606 W SLAUGHTER LN,78748,2,3097155,3097155,30.1729276,-97.79966865,"(30.1729276, -97.79966865)"
300,THEFT,600,03-03-2019 19:00,03-03-2019,1900,RESIDENCE / HOME,9010 GALEWOOD DR,78758,4,3122208,3122208,30.36794153,-97.71508242,"(30.36794153, -97.71508242)"
301,BURGLARY NON RESIDENCE,502,03/26/2019 04:00:00 PM,26-03-2019,1600,PARKING LOTS / GARAGE,306 W 29TH ST,78705,9,3114742,3114742,30.29458003,-97.74073531,"(30.29458003, -97.74073531)"
